Symbol,Period,Metric,Value
MA,2017-09,Cash and Equivalents,6585
MA,2017-09,Investments Current,1864
MA,2017-09,Trade and Non-Trade Receivables,1858
MA,2017-09,Inventory,0
MA,2017-09,Current Assets,13231
MA,2017-09,Property  Plant & Equipment Net,901
MA,2017-09,Goodwill and Intangible Assets,4162
MA,2017-09,Investments Non-Current,0
MA,2017-09,Tax Assets,425
MA,2017-09,Assets Non-Current,7683
MA,2017-09,Total Assets,20914
MA,2017-09,Trade and Non-Trade Payables,722
MA,2017-09,Debt Current,0
MA,2017-09,Current Liabilities,7984
MA,2017-09,Debt Non-Current,5393
MA,2017-09,Deferred Revenue,0
MA,2017-09,Tax Liabilities,139
MA,2017-09,Deposit Liabilities,1026
MA,2017-09,Liabilities Non-Current,6392
MA,2017-09,Total Liabilities,14376
MA,2017-09,Accumulated Other Comprehensive Income,-542
MA,2017-09,Accumulated Retained Earnings (Deficit),22401
MA,2017-09,Shareholders Equity,6442
MA,2017-09,Investments,1864
MA,2017-09,Total Debt,5393
MA,2017-09,Cash and Short Term Investments,8449
MA,2017-06,Cash and Equivalents,6170
MA,2017-06,Investments Current,1782
MA,2017-06,Trade and Non-Trade Receivables,1708
MA,2017-06,Inventory,0
MA,2017-06,Current Assets,12542
MA,2017-06,Property  Plant & Equipment Net,845
MA,2017-06,Goodwill and Intangible Assets,3885
MA,2017-06,Investments Non-Current,0
MA,2017-06,Tax Assets,375
MA,2017-06,Assets Non-Current,7297
MA,2017-06,Total Assets,19839
MA,2017-06,Trade and Non-Trade Payables,654
MA,2017-06,Debt Current,0
MA,2017-06,Current Liabilities,7583
MA,2017-06,Debt Non-Current,5326
MA,2017-06,Deferred Revenue,0
MA,2017-06,Tax Liabilities,140
MA,2017-06,Deposit Liabilities,993
MA,2017-06,Liabilities Non-Current,6308
MA,2017-06,Total Liabilities,13891
MA,2017-06,Accumulated Other Comprehensive Income,-699
MA,2017-06,Accumulated Retained Earnings (Deficit),21205
MA,2017-06,Shareholders Equity,5852
MA,2017-06,Investments,1782
MA,2017-06,Total Debt,5326
MA,2017-06,Cash and Short Term Investments,7952
MA,2017-03,Cash and Equivalents,6990
MA,2017-03,Investments Current,1654
MA,2017-03,Trade and Non-Trade Receivables,1553
MA,2017-03,Inventory,0
MA,2017-03,Current Assets,12885
MA,2017-03,Property  Plant & Equipment Net,748
